userName,score,tanggal,appVersion,ulasan,sentimen
Pengguna Google,5,05/18/2026 23:11,4.16.1,kenapa yaa selalu ada tulisan anda sedang login di tempat yang berbeda hbis itu malah log out sendiri di hp ku sedangkan tdk ada tau akun jkn mobile ku aneh ini aplikasi tolong perbaiki,positif
Pengguna Google,1,05/18/2026 23:10,4.16.1,buat daftar aja susah,negatif
Pengguna Google,1,05/18/2026 23:05,4.15.0,mempersulit orang awam tidak semua orang paham persi lama lebih mudah,negatif
Pengguna Google,1,05/18/2026 23:05,4.16.1,sering error,negatif
Pengguna Google,1,05/18/2026 23:05,4.16.1,tolonv ya perbaiki sistem kalian itu jelek bener mau daftat buat berobat aja gangguan terus minta otp sms tapi gak masuk buang waktu banget,negatif
Pengguna Google,5,05/18/2026 23:04,4.16.1,untuk kode otp no telpon bagi yang gk masuk caranya cuma no yang mau kalian daftarin tuh harus punya pulsa ya min ribu jadi silahkan isi pulsa kalian dulu aku udh coba dan ternyata berhasil,negatif
Pengguna Google,1,05/18/2026 23:04,4.16.1,tolol,negatif
Pengguna Google,5,05/18/2026 22:47,4.16.1,nih tak kasih bintang tp tolonggg yaaaaa jadwal bookingan untuk kontrol jgn ilang an trusss pdhl udh perpanjang rujukan sudah booking dan dpt no antrian online sebelumnya jd jgn tbtb menghilang gt ajaaaa kasian saya jd mulur trus klo pgn kontrol pleaseeeee diperbaikiiiii yaaaa,negatif
Pengguna Google,1,05/18/2026 22:43,4.16.1,aplikasi pemerintah tapi kok tidak stabil sering bgt eror tidak layak pakai harusnya ada uji kelayakan dulu apalagi skrg kalau periksa dengan bpjs kesehatan wajib melalui aplikasi padahal kita juga bayar iuran tiap bulan tolong diperbaiki aplikasi ini bukan mempermudah tapi malah menghambat,positif
Pengguna Google,5,05/18/2026 22:40,4.16.1,kenapa yaaaaa harus login lagi login lagi padahal sudah bisa diakses iya kalau langsung sukses lah ini nomor nik sesuai pasword sesuai tapi gagal login alasannya nomer nik tidak sesuai pasword tidak sesuai bikin ribet aja,positif
Pengguna Google,1,05/18/2026 22:40,4.16.1,aplkasi nya bikin sulit skrg daftar di mana mana harus online tapi aplikasi sering eror sampe gak jadi kalo harus periksa ke faskes kontrol uda sulit di bikin lebih sulit,negatif
Pengguna Google,1,05/18/2026 22:31,4.16.1,apk jelek nunggu kirim kode verif ke nomor hp kaga masuk mana di wajibin lagi rusak,negatif
Pengguna Google,1,05/18/2026 22:30,4.16.1,sudah daftar sudah punya rujukan tapi tetep pas mau hari h kontrol rujukan belum punya tolong benahi lagi apk nya jangan di bikin ribet dong,negatif
Pengguna Google,3,05/18/2026 22:28,4.16.1,aplikasi sering eror,negatif
Pengguna Google,1,05/18/2026 22:25,4.16.1,udah buat akun tapi ngak bisa masuk itu gimana masa iya setiap saya mau masukin ada kendala terus padahal jaringan bagus sungguh sangat sangat memperihatinkan kalo liat gini kaya ngak niat bukannya mempermudah tapi malah kayak gini,positif
Pengguna Google,5,05/18/2026 22:21,4.16.1,tolong di perbaiki lagi masa pendaftaran faskes rujukan tingkat lanjut sering hilang sedangkan sudah mendaftar,negatif
Pengguna Google,1,05/18/2026 22:19,4.16.1,ga bisa buat aplikasi jangan buat bro ribet ribet,negatif
Pengguna Google,5,05/18/2026 22:17,4.16.1,baik,positif
Pengguna Google,5,05/18/2026 22:07,4.16.1,bagus,positif
Pengguna Google,3,05/18/2026 22:06,4.16.1,kurang puas,positif
Pengguna Google,5,05/18/2026 20:48,4.16.1,ok sekali,negatif
Pengguna Google,5,05/18/2026 20:44,4.16.1,cool,negatif
Pengguna Google,5,05/18/2026 20:04,4.16.1,memudahkan,negatif
Pengguna Google,5,05/18/2026 18:44,4.11.2,mantap,positif
Pengguna Google,2,05/18/2026 18:27,4.16.1,gk masuk akal masa iya rubah data anak baru lahir suruh foto diri beserta memegang ktp iya kali anak th punya ktp,negatif
Pengguna Google,4,05/18/2026 17:53,4.16.1,semoga bermanfaat untuk semua pake mobile jkn,negatif
Pengguna Google,5,05/18/2026 17:43,4.16.1,pelayanan nya sangat bagus dan ramah,positif
Pengguna Google,1,05/18/2026 17:36,4.16.1,g jls bgt ni aplikasi udh ganti no hp g prnh keluar kode verifikasinya,negatif
Pengguna Google,5,05/18/2026 17:22,4.16.1,baik sekali,positif
Pengguna Google,1,05/18/2026 17:19,4.16.1,aplikasi apa ini mau daftar aja susah masukin nomor hp nunggu otp ga ada yg masuk berkali kali payah kali,negatif
Pengguna Google,1,05/18/2026 17:18,4.16.1,lelet,negatif
Pengguna Google,5,05/18/2026 17:18,4.16.1,kok gk bisa download loh,negatif
Pengguna Google,5,05/18/2026 17:02,4.16.1,mamfap,negatif
Pengguna Google,5,05/18/2026 16:38,4.16.1,memudahkan proses kerja,negatif
Pengguna Google,1,05/18/2026 16:16,4.16.1,udah selesai registrasi malah gak bisa masuk tidak dapat di proses silahkan coba lagi mengecewakan,negatif
Pengguna Google,5,05/18/2026 15:59,4.16.1,cepat,positif
Pengguna Google,1,05/18/2026 15:56,4.16.1,woy kodenya lama bgt dikirim tolong yh di perbaiki aplikasi nya jangan menyusahkan orang,negatif
Pengguna Google,1,05/18/2026 15:38,4.16.1,jelek bgt anyingg bnerin lg aplikasi nya masa keluar mlu pdhl data ada pulsa ada pke wifi lemot bangetttt emosi niat mau kontrol kehalang gra ni apk sialan,negatif
Pengguna Google,5,05/18/2026 15:27,4.16.1,lumayan,negatif
Pengguna Google,5,05/18/2026 15:24,4.16.1,sistem online nya sudah lumayan ok,negatif
Pengguna Google,1,05/18/2026 15:21,4.16.1,tadi mau ambil no antrian di app eh harus verifikasi dh di masukin no hp ga masuk no otp nya email juga sama dh diklinik hmpir stgh jam ga bisa dftr offline juga ktnya harus online akhirnya ga jadi berobat beli obat aja lgsg diapotik,negatif
Pengguna Google,1,05/18/2026 15:04,4.16.1,apk apa ini anjerr mau login aja dipersulit mau verivikasi lewat wajah aja dipersulit katanya gagal trus kurang terang dll mau seterang matahari kah trus sekalinya udh dapet wajah nya malah ada notif permintaan anda gagal di akses kek arghh,negatif
Pengguna Google,5,05/18/2026 14:46,4.16.1,bagus,positif
Pengguna Google,4,05/18/2026 14:42,4.16.1,tolong dibaca aku mau verifikasi kode otp gk bisa atau harus kartunya ada pulsa dulu baru bisa terima tuh kode kah kirain daftarnya gratis ternyata kena biaya jg rugi gw download nih apk penuhin penyimpanan hp doang ternyata banyak yg bermasalah sama kode otp nya,negatif
Pengguna Google,5,05/18/2026 14:34,4.16.1,aplikasi sampah mau daftar aja eror trus,negatif
Pengguna Google,5,05/18/2026 14:32,4.16.1,bagus,positif
Pengguna Google,5,05/18/2026 14:18,4.16.1,belum di coba mudahan bermanfaat,negatif
Pengguna Google,5,05/18/2026 14:04,4.16.1,bagus,positif
Pengguna Google,5,05/18/2026 13:52,4.16.0,puas,positif
Pengguna Google,1,05/18/2026 13:46,4.16.1,susah amat mau cek juga,negatif
Pengguna Google,5,05/18/2026 13:43,4.16.1,izin menyampaikan beberapa pertanyaan dan kritik aplikasi ini dibuat dengan tujuan untuk mempermudah atau mempersulit pembuatan bpjs saat diinstruksikan untuk mencatat nomor hp kenapa tidak jadi teruss padahal saya wifi lancar sinyal lancar dan kuota juga ada jika app ini bertujuan mempermudah tolong diperbaiki apakah ada problem dalam penyetingannya malas sekali kalau berurusan sama pemerintah pastinya selalu dipersulit salah satunya ini dan masih banyak lainnya,positif
Pengguna Google,5,05/18/2026 13:42,4.16.1,sangat baik,positif
Pengguna Google,5,05/18/2026 13:36,4.16.1,aplikasi top banget sangat mempermudah,positif
Pengguna Google,5,05/18/2026 13:35,4.16.1,update mulu update mulu gaguna anj benerin noh dalemnya gabisa ngirim otp lewat sms kelola yang bener lh anj,negatif
Pengguna Google,2,05/18/2026 13:33,4.16.1,lama lama aplikasi tidak beres hp nggak di root nggak di apa apain biasa ya bisa kok sekarang nggak bisa katanya hp gara gara di root,negatif
Pengguna Google,1,05/18/2026 13:33,4.16.1,udah gk mau berkata kata lagi komenanya udah negatif semua,negatif
Pengguna Google,1,05/18/2026 13:28,4.16.1,otp sms gagal terus penerimaan otp lama,negatif
Pengguna Google,1,05/18/2026 13:27,4.16.1,susah banget mintak kode otp utuk daptar semoga cepat di perbaiki aplikasinya,positif
Pengguna Google,1,05/18/2026 13:26,4.16.1,otp sms lama jarang masuk,negatif
Pengguna Google,5,05/18/2026 13:16,4.16.1,mudah dan praktis,negatif
Pengguna Google,1,05/18/2026 13:14,4.16.1,susah login,negatif
Pengguna Google,1,05/18/2026 13:13,4.16.1,gabisa login gajelas,negatif
Pengguna Google,5,05/18/2026 13:13,4.16.1,sangat membantu bagi kesehatan keluarga kecil kami,negatif
Pengguna Google,1,05/18/2026 13:08,4.16.1,aduh buat nginstal aja gagal terus parah sih ini,negatif
Pengguna Google,5,05/18/2026 13:08,4.16.1,sangat membantu,negatif
Pengguna Google,1,05/18/2026 12:59,4.16.1,apk buruk sekali sangat buruk busuk nunggu kode verifikasi aja ga ada ada busuk,negatif
Pengguna Google,4,05/18/2026 12:51,4.15.0,alhamdulillah baik,positif
Pengguna Google,1,05/18/2026 12:50,4.16.1,napa kaga bisa daftar online malah di suruh datang langsung ke rs nya terus guna jkn apa haha,negatif
Pengguna Google,4,05/18/2026 12:40,4.16.1,kadang lemot,negatif
Pengguna Google,5,05/18/2026 12:38,4.16.0,okok ok,negatif
Pengguna Google,1,05/18/2026 12:25,4.16.1,udh nyoba berkali kali kodenya ga ke kirim,negatif
Pengguna Google,1,05/18/2026 12:25,4.16.1,aplikasi tidak jelas mau mendaftar susah sekali mempersulit,negatif
Pengguna Google,1,05/18/2026 12:17,4.16.1,iya allah mau daftar aja harus pake ekstra sabar udh registrasi di otp sms kaga masuk tapi kalo pake email langsung masuk mbok iya jangan di persulit ngapa sih,negatif
Pengguna Google,5,05/18/2026 12:15,4.16.1,oke lah,positif
Pengguna Google,5,05/18/2026 12:15,4.16.1,membantu dan memudah kan kita saat periksa kesehatan,negatif
Pengguna Google,1,05/18/2026 12:11,4.16.1,sistem otp nya jelek kode otp berulang kali dicoba tapi gaada sms masuk harusnya dibuat aja verifikasi nomor hp setelah bisa daftar akun dan juga harusnya dibuat opsi pengiriman otp by wa atau sms,negatif
Pengguna Google,5,05/18/2026 12:09,4.16.1,sangat membantu,negatif
Pengguna Google,1,05/18/2026 12:06,4.16.1,otp tidak muncul,negatif
Pengguna Google,5,05/18/2026 11:59,4.16.1,mntap,negatif
Pengguna Google,1,05/18/2026 11:58,4.16.1,aplikasi gajelas percuma adanya antrian online tetep aja dibuat nunggu jam,negatif
Pengguna Google,5,05/18/2026 11:58,4.16.1,cukup lancar saat berselancar andaikan ada fasilitas mendaftarkan antrian untuk peserta lain seperti orangtua atau nenek yang sudah jompo,positif
Pengguna Google,1,05/18/2026 11:57,4.16.1,apk buruk daftar aja susah dikit dikit keluar ngulang terus,negatif
Pengguna Google,1,05/18/2026 11:49,4.15.0,gak jelas apk nya udh di suruh update malah ngak bisa,negatif
Pengguna Google,1,05/18/2026 11:48,4.16.1,susah sekali mau buka jkn ruwet,negatif
Pengguna Google,1,05/18/2026 11:44,4.16.1,aplikasi abal abal menyusahkan orang sakit yg mau berobat padahal sudah ada kartu tapi harus screening harus isi capta di aplikasi dll nggak kebayang klo yg sakit adalah nenek kakek kakek dan darurat sungguh aplikasi ini bukan membahagiakan tapi menyusahkan orang sakit apalagi semua keluarga ada dalam satu aplikasi dan satu hp jadi keluarga yg sakit harus di daftarkan oleh pemegang hp sekali lagi ini aplikasi menyusahkan pasien,negatif
Pengguna Google,1,05/18/2026 11:43,4.13.1,pas ada apk ini mau berobat aja susahnya minta ampun harus dan wajib menggunakan apk ini sedangkan tidak semua hp mensuport tolong dong adain versi webnya biar tidak memakan memori,negatif
Pengguna Google,5,05/18/2026 11:33,4.16.1,goood,negatif
Pengguna Google,2,05/18/2026 11:26,4.16.1,mobile jkn apakah harus update untuk update hp saya sudah full harus hapus hapus kalau tidak update apakah memang tidak bisa dibuka digunakan,negatif
Pengguna Google,5,05/18/2026 11:25,4.16.1,cepat langsung dan mudah,positif
Pengguna Google,5,05/18/2026 11:19,4.16.1,sip top markotop,positif
Pengguna Google,5,05/18/2026 11:18,4.16.1,kren bisa langsung terupdate,negatif
Pengguna Google,5,05/18/2026 10:59,4.16.1,sangat membantu,negatif
Pengguna Google,1,05/18/2026 10:50,4.16.1,aplikasi rusak daftar make nomor telepon kaga masuk pesannya lolot,negatif
Pengguna Google,1,05/18/2026 10:48,4.16.1,aplikasi aneh jaringan lancar tapi tidak bisa memesan antrian untuk ke faskes,positif
Pengguna Google,5,05/18/2026 10:36,4.16.1,good aplication and simple,negatif
Pengguna Google,5,05/18/2026 10:34,4.16.1,terbaik,positif
Pengguna Google,5,05/18/2026 10:34,4.16.1,kerennnn,positif
Pengguna Google,1,05/18/2026 10:29,4.16.1,apk anehh verifikasi lewat sms tapi kode otp nya ga masuk ke sms uda dicoba berkali sama aja uda menghubungi call center pandawa tapi balesnya pake chat bot yg ga jelas,negatif
Pengguna Google,5,05/18/2026 10:21,4.16.1,sangat membantu,negatif
Pengguna Google,5,05/18/2026 10:16,4.16.1,untuk antrian online sudah di cencel tetapi status tidak berubah,negatif
Pengguna Google,5,05/18/2026 10:15,4.16.1,ok,negatif
Pengguna Google,5,05/18/2026 10:09,4.16.1,memudahkan pengguna bpjs,negatif
Pengguna Google,5,05/18/2026 10:02,4.16.1,cepat tanggap,positif
Pengguna Google,1,05/18/2026 9:52,4.16.1,masa gak update data sih antara aplikasi sama pcare gak jelas bgt,negatif
Pengguna Google,5,05/18/2026 9:50,4.16.1,tolong benerin lagi untuk map nya nggak jelas sekali klinik kok yang di tunjukin warung makan edan banget,negatif
Pengguna Google,5,05/18/2026 9:47,4.16.1,bagus,positif
Pengguna Google,1,05/18/2026 9:34,4.16.1,mohon untuk di perhatikan untuk kode otp sms ny sudah berapa hari nyoba tapi tidak masuk masuk,negatif
Pengguna Google,1,05/18/2026 9:33,4.16.1,data sudah sesuai dengan kk tapi tidak bisa daftar antrean online minus bgttt,positif
Pengguna Google,1,05/18/2026 9:25,4.16.1,aplikasi sangat buruk banyak error nya pas pilih metode verifikasi no hp hanya menampilkan kolom kosong tidak bisa di klik maupun di scroll,negatif
Pengguna Google,2,05/18/2026 9:18,4.13.1,makin update makin ribet mau login pas klik masuk gk bisa dipencet,negatif
Pengguna Google,5,05/18/2026 9:15,4.16.1,lebih nyaman memakai aplikasi mobile jkn,positif
Pengguna Google,2,05/18/2026 9:04,4.16.1,aplikasinya banyak bug dan error rujukan sering hilang sehingga tidak bisa mendaftar lewat aplikasi padahal baru tadi pagi dibuat rujukan belum lewat bulan dan hanya bisa ditrack lewat riwayat pelayanan banyak loading error tidak dapat memuat data,negatif
Pengguna Google,1,05/18/2026 8:59,4.16.1,terlalu ribet buat daftar harus pake otp scan wajah tapi ngulang ngulang terus sering error gimana warga mau cek keanggotaan bpjs nya kalau via app saja ribet dipersulit,negatif
Pengguna Google,1,05/18/2026 8:55,4.16.1,kode otp kok gamasuk masuk,negatif
Pengguna Google,1,05/18/2026 8:52,4.16.1,suka ke log out sendiriiiiiiiii,positif
Pengguna Google,3,05/18/2026 8:49,4.16.1,mau batalin jadwal dan ganti hari malah ditolak apk gak jelas,negatif
Pengguna Google,5,05/18/2026 8:43,4.16.1,memudahkan pendaftaran saat mau priksa,negatif
Pengguna Google,4,05/18/2026 8:32,4.16.1,perubahan data dan penambahan data ga bisa ter pakai trus buat apa tuh tombolnya heran tolong dong di perbaiki lewat jkn jangan kekantornya lagi buat perubahanya,positif
Pengguna Google,5,05/18/2026 8:30,4.16.1,berguna bangettt,negatif
Pengguna Google,5,05/18/2026 8:27,4.16.1,bagus,positif
Pengguna Google,1,05/18/2026 8:12,4.16.1,wifi sinyal bagus tapi suka error mulu jelek apk ini,negatif
Pengguna Google,1,05/18/2026 8:11,4.16.1,bangke skrining gagal terus,negatif
Pengguna Google,1,05/18/2026 8:11,4.16.1,mau daftar online tp gangguan terus balikin aja kaya dulu ga perlu daftar online segala daftar di faskes atau rs langsung kan bisa,negatif
Pengguna Google,5,05/18/2026 8:08,4.16.1,sangat baik,positif
Pengguna Google,4,05/18/2026 8:08,4.16.1,mudah digunakan,negatif
Pengguna Google,5,05/18/2026 7:58,4.16.1,sangat membatu dalam mngecek ke aktifan bpjs ok sihhh,negatif
Pengguna Google,5,05/18/2026 7:55,4.16.1,puasa bgt,positif
Pengguna Google,1,05/18/2026 7:53,4.16.1,tau sendirilah kulitasnya udh gitu tiap instansi punya aplikasinya sendiri buruk bener kata raymond gini saja terus sampai ketinggalan zaman lawak,negatif
Pengguna Google,5,05/18/2026 7:53,4.16.1,sudah bagus jaringan agar dipercepat jangan sering gagal,positif
Pengguna Google,5,05/18/2026 7:37,4.16.1,sejauh ini jkn sangat membantu,negatif
Pengguna Google,5,05/18/2026 7:34,4.16.1,tolong perbaiki pada perubahan data kenapa ganti nomer telpon susah veripikasi,positif
Pengguna Google,5,05/18/2026 7:30,4.16.1,ok,negatif
Pengguna Google,5,05/18/2026 7:29,4.16.1,lupa pasword reply buat kirim otp lama sekali sampainya mungkin banyak mampir ngopi atau masuk gorong gorong,negatif
Pengguna Google,5,05/18/2026 7:27,4.16.1,layanan cepat,positif
Pengguna Google,1,05/18/2026 7:21,4.13.1,gak jelas dan gak mutu,negatif
Pengguna Google,1,05/18/2026 7:21,4.16.1,buruk ngeleg,negatif
Pengguna Google,1,05/18/2026 7:08,4.16.1,diperbaiki lagi dong sistemnyaa gimana sih udah nunggu verifikasi lama banget malah gak dikirim padahal nomer sudah sesuai,positif
Pengguna Google,5,05/18/2026 7:05,4.16.1,sangat termotivasi,negatif
Pengguna Google,5,05/18/2026 6:55,4.13.1,ga bisa up date tolong dibantu,negatif
Pengguna Google,5,05/18/2026 6:53,4.16.1,ok,negatif
Pengguna Google,5,05/18/2026 6:49,4.16.1,bismila semogga dikasih jalan kemuadahan dalam segala urusan,negatif
Pengguna Google,5,05/18/2026 6:47,4.16.1,sangat membantu,negatif
Pengguna Google,5,05/18/2026 6:45,4.16.1,mantap,positif
Pengguna Google,5,05/18/2026 6:44,4.15.0,inovasi yg berkelanjutan,negatif
Pengguna Google,5,05/18/2026 6:37,4.16.1,buat bintang supaya di baca sampah banget ini aplikasi bukannya mempermudah malah mempersulit urusan gw udah kirim kode otp buat nomor telpon tapi gak di kasih kasih gini nih boomer kalo buat aplikasi ga paham it taiiiikkk,negatif
Pengguna Google,1,05/18/2026 6:37,4.16.1,cacat eror terus,negatif
Pengguna Google,5,05/18/2026 6:36,4.16.1,suruh masukin no hp giliran udah di masukin no hp nya malah gak dikirim kode otp nya kan ngelawak,negatif
Pengguna Google,5,05/18/2026 6:36,4.16.1,sangat membantu,negatif
Pengguna Google,1,05/18/2026 6:34,4.12.0,apk macam apa ini setiap mau klik menu muncul notif gagal karena jaringan hadeh,negatif
Pengguna Google,1,05/18/2026 6:30,4.16.1,di indonesia apa gk ada orang pinter semua mempersulittt,negatif
Pengguna Google,5,05/18/2026 6:24,4.16.1,mantap bs di akses kapan saja dan mempermudah kita dalam menggunakan akses kesehatan,positif
Pengguna Google,5,05/18/2026 6:22,4.16.1,sangat baik dan sangat rekomedasi,positif
Pengguna Google,5,05/18/2026 6:21,4.16.1,bagus sgt membantu,positif
Pengguna Google,5,05/18/2026 6:14,4.16.1,lumayan,negatif
Pengguna Google,2,05/18/2026 6:02,4.16.1,ribet aplikasi minggu ga dibuka pasti ke logout sendiri pdhl ga di uninstall jd harus login lagi ga cuma sekali dua kali kaya gini,negatif
Pengguna Google,1,05/18/2026 5:57,4.16.1,aplikasi gkberes mas gkbsa login sma skli,negatif
Pengguna Google,5,05/18/2026 5:57,4.15.0,kenapa tiba tiba gabisa masuk akun ya udah masukin no kk yg bener tapi gagal terus heran aku sekarang gabisa dipake nih app,negatif
Pengguna Google,1,05/18/2026 5:57,4.16.1,aplikasi ga guna banyak ngelag nya lelet bgt,negatif
Pengguna Google,1,05/18/2026 5:48,4.16.1,aplikasi enggak guna,negatif
Pengguna Google,5,05/18/2026 5:26,4.16.1,mantab,negatif
Pengguna Google,1,05/18/2026 5:11,4.16.1,bacalah komennya,negatif
Pengguna Google,5,05/18/2026 5:10,4.16.1,terima kasih sudah menghadirkan verifikasi melalui wajah akhirnya saya bisa verifikasi akun jkn ini,negatif
Pengguna Google,1,05/18/2026 5:09,4.16.1,gajelas,negatif
Pengguna Google,1,05/18/2026 5:06,4.16.1,susah ga berguna,negatif
Pengguna Google,1,05/18/2026 4:54,4.16.1,aplikasi terlalu secure tidak nyaman dipakai,positif
Pengguna Google,1,05/18/2026 4:50,4.16.0,harus selalu di update sementara penyimpanan pengguna kadang habis tidak bisa di update tidak bisa di pakai pula,negatif
Pengguna Google,5,05/18/2026 4:50,4.16.1,sangat membantu,negatif
Pengguna Google,5,05/18/2026 4:49,4.16.1,tdk harus antri lama,negatif
Pengguna Google,5,05/18/2026 4:45,4.16.1,sejauh ini sangat membantu sekali aplikasinya,negatif
Pengguna Google,5,05/18/2026 4:38,4.16.1,bagus gak ada masalah sama sekali,positif
Pengguna Google,1,05/18/2026 4:32,4.16.1,aplikasi gak guna,negatif
Pengguna Google,1,05/18/2026 4:31,4.15.0,aplikasi sering keluar susah utk berobat,negatif
Pengguna Google,5,05/18/2026 4:29,4.16.1,terimakasih atas aplikasinya sangat berguna dan bermanfaat aplikasi mobile jkn sangat membatu buat memfasilitasi kesehatan keluarga terimakasih,negatif
Pengguna Google,5,05/18/2026 4:29,4.16.1,sangat mudah dan membantu,negatif
Pengguna Google,5,05/18/2026 4:28,4.16.1,aman dan yang terbaik,positif
Pengguna Google,5,05/18/2026 4:27,4.16.1,mudah dan pelayanan yang baik,positif
Pengguna Google,5,05/18/2026 4:26,4.16.1,mempermudah sangat membantu,negatif
Pengguna Google,2,05/18/2026 4:21,4.16.1,apk nya ribet banget anjirr udah masukin nik tetep ga bisaa woiii masukin no hp buat verifikasi ga muncul kode verifikasi dari sms perbaiki lagii apk nyaa bangsatt,positif
Pengguna Google,5,05/18/2026 4:19,4.16.1,bagus,positif
Pengguna Google,1,05/18/2026 4:13,4.16.1,aplikasi ribet mau daftar aja perlu login terus gajelas sy udah login ulang,negatif
Pengguna Google,5,05/18/2026 4:03,4.16.1,ok,negatif
Pengguna Google,1,05/18/2026 4:02,4.16.1,biasanya msk mudah bgtu per tgl juni tiap dftr ke poli hrs pke mjkn skrg msk susah dftr ulang jg susah nunggu kode otp smpe detik udh ditggu bknnya bs mlh error coba lg sdh dicoba lg bgtu wktu hbis kode otp gk jg diksi smpe x dftr ini nya kek mana smua dipersulit hrs kek mana yg sakit keburu gk nafas baru bs,negatif
Pengguna Google,1,05/18/2026 4:02,4.16.1,kode otp sms susah masuk padahal nomor masih aktif,negatif
Pengguna Google,1,05/18/2026 4:01,4.16.1,perbaiki dia punya kode otp sms lama masuknya,negatif
Pengguna Google,5,05/18/2026 3:43,4.16.1,asik,negatif
Pengguna Google,5,05/18/2026 3:41,4.16.1,good,negatif
Pengguna Google,1,05/18/2026 3:40,4.16.1,ini aplikasi bukannya mempermudah malah mempersulit peserta bpjs kesehatan,negatif
Pengguna Google,5,05/18/2026 3:36,4.16.1,sangat cocok digunakan bagi smua tmn yg mnjalanin nya dgn baik menjadi kenyataan nya,positif
Pengguna Google,5,05/18/2026 3:35,4.16.1,bagus,positif
Pengguna Google,5,05/18/2026 3:34,4.16.1,sangat membantu masyarakat,negatif
